document,source_exists,docx,pdf,render_contact_sheet,pages,status
PETU_Code_Availability_PublicReleasePatch_v1.docx,True,journal_documents/PETU_Code_Availability_PublicReleasePatch_v1.docx,journal_documents/PETU_Code_Availability_PublicReleasePatch_v1.pdf,PETU_Code_Availability_PublicReleasePatch_v1_render_contact_sheet.png,2,PASS_RENDERED
PETU_Data_Availability_PublicReleasePatch_v1.docx,True,journal_documents/PETU_Data_Availability_PublicReleasePatch_v1.docx,journal_documents/PETU_Data_Availability_PublicReleasePatch_v1.pdf,PETU_Data_Availability_PublicReleasePatch_v1_render_contact_sheet.png,2,PASS_RENDERED
PETU_Main_Manuscript_PublicReleasePatch_v1.docx,True,journal_documents/PETU_Main_Manuscript_PublicReleasePatch_v1.docx,journal_documents/PETU_Main_Manuscript_PublicReleasePatch_v1.pdf,PETU_Main_Manuscript_PublicReleasePatch_v1_render_contact_sheet.png,12,PASS_RENDERED
PETU_Reproducibility_Audit_PublicReleasePatch_v1.docx,True,journal_documents/PETU_Reproducibility_Audit_PublicReleasePatch_v1.docx,journal_documents/PETU_Reproducibility_Audit_PublicReleasePatch_v1.pdf,PETU_Reproducibility_Audit_PublicReleasePatch_v1_render_contact_sheet.png,3,PASS_RENDERED
PETU_Supplementary_Information_PublicReleasePatch_v1.docx,True,journal_documents/PETU_Supplementary_Information_PublicReleasePatch_v1.docx,journal_documents/PETU_Supplementary_Information_PublicReleasePatch_v1.pdf,PETU_Supplementary_Information_PublicReleasePatch_v1_render_contact_sheet.png,11,PASS_RENDERED
